theme_b_breaking_evaluation_results.__id,theme_b_breaking_evaluation_results.condition_id,make_form.__id,theme_b_breaking_evaluation_results.distance,theme_b_breaking_evaluation_results.duration,theme_b_breaking_evaluation_results.uneven_wear,theme_b_breaking_evaluation_results.squeal_sound,theme_b_breaking_evaluation_results.date,theme_b_breaking_evaluation_results.image
制動性能評価.結果ID,制動性能評価.条件ID,成形.ID,制動性能評価.制動距離,制動性能評価.制動時間,制動性能評価.偏摩耗,制動性能評価.スキール音,制動性能評価.実施日,制動性能評価.参考画像
text,text,text,number,number,boolean,number,date,number
293936ec-8ff5-45be-92ff-72fe55863827,43dcdd39-f9ed-456c-b1bc-17918e866061,3277d707-df85-4444-b3ef-10b988e005a6,11.3,9.8,false,10,2024/5/12,
f9a570f4-ff37-45de-9ae3-732812c1bb39,43dcdd39-f9ed-456c-b1bc-17918e866061,82a44f81-0f9e-43ed-8b42-3b774a5a3124,12.45,10.5,false,11,2024/5/13,
0bba79e4-5061-4833-83a6-08af83fb89ee,43dcdd39-f9ed-456c-b1bc-17918e866061,b51ad19f-34dd-4e2d-971e-31494e5b0b7f,11.98,10.7,false,12,2024/5/14,
4aacfc15-2a8e-4b5a-ae8c-111ec02bde94,43dcdd39-f9ed-456c-b1bc-17918e866061,193a304b-2e7b-4b01-8bb2-6aff8ff7df5f,11.22,11.2,false,13,2024/5/15,
7623f093-5087-4123-b5ce-ce2023e23174,43dcdd39-f9ed-456c-b1bc-17918e866061,0542caed-ebe0-47c2-8a9e-ec9dc137853c,10.8,9.6,false,11,2024/5/16,
af1b1a19-5933-4c20-9ec5-c092814854ef,e187d3b1-e610-49b3-9879-fd070b792ed3,3277d707-df85-4444-b3ef-10b988e005a6,12.56,11.8,false,15,2024/5/17,
794ee15d-ddbc-427a-9063-1e4be7349e4e,e187d3b1-e610-49b3-9879-fd070b792ed3,82a44f81-0f9e-43ed-8b42-3b774a5a3124,13.45,12.5,false,18,2024/5/18,
96ce3777-7b4e-4ccf-a754-d312c2e45322,e187d3b1-e610-49b3-9879-fd070b792ed3,b51ad19f-34dd-4e2d-971e-31494e5b0b7f,14.22,14.5,false,14,2024/5/19,
82caf155-af9b-4df3-adc9-e8641a6e0e6f,e187d3b1-e610-49b3-9879-fd070b792ed3,193a304b-2e7b-4b01-8bb2-6aff8ff7df5f,13.15,12.8,false,12,2024/5/20,
bab92498-1a40-4544-9ad7-79a0b1f97966,e187d3b1-e610-49b3-9879-fd070b792ed3,0542caed-ebe0-47c2-8a9e-ec9dc137853c,14.5,12.9,false,11,2024/5/21,
f8f3955f-e371-4cbe-9934-d77ce51dc425,35960a3e-5d72-482b-82ae-f8b068a65a4d,3277d707-df85-4444-b3ef-10b988e005a6,20.5,19.5,false,18,2024/5/22,
4b49cf8c-6b17-47b4-affa-4948128e0633,35960a3e-5d72-482b-82ae-f8b068a65a4d,82a44f81-0f9e-43ed-8b42-3b774a5a3124,19.81,16.3,false,19,2024/5/23,
8f448e34-ba9a-4225-8259-77745eea9314,35960a3e-5d72-482b-82ae-f8b068a65a4d,b51ad19f-34dd-4e2d-971e-31494e5b0b7f,21.45,18.5,true,24,2024/5/24,
ee3286eb-3ec8-4ff6-8702-45d72502feaf,35960a3e-5d72-482b-82ae-f8b068a65a4d,193a304b-2e7b-4b01-8bb2-6aff8ff7df5f,24.5,20.1,true,26,2024/5/25,
